n,correlacion,p_value,ci_lower,ci_upper,significativo_bootstrap,indicador_digital,medida_psicometrica,correlacion_abs,categoria,p_fdr,significativo_fdr,p_bonferroni
18,0.7174529794832835,0.0008027063536241828,0.37082992579350055,0.889663759340185,True,promedio_miedo,dass_estres,0.7174529794832835,Robusta (ambos),0.04495155580295424,True,0.0008928571428571429
18,0.6628685007983052,0.0027161564528323124,0.3337008390976403,0.8116703539542253,True,total_emojis,dass_estres,0.6628685007983052,Robusta (ambos),0.052489917667900655,False,0.0008928571428571429
18,0.6611412630703514,0.0028119598750661065,0.29329555918935163,0.8749168063103722,True,num_publicaciones,dass_estres,0.6611412630703514,Robusta (ambos),0.052489917667900655,False,0.0008928571428571429
18,0.6288141666110754,0.005183896676031932,0.19229604829829983,0.8724771186405482,True,promedio_tristeza,dass_estres,0.6288141666110754,Robusta (ambos),0.07257455346444705,False,0.0008928571428571429
18,-0.5471549596053361,0.018769955488879452,-0.8176235884422273,-0.046143693717366305,True,promedio_negativas,dass_ansiedad,0.5471549596053361,Robusta (ambos),0.21022350147544985,False,0.0008928571428571429
18,0.4611438580007094,0.05408262327342209,0.015822797513684053,0.739584041304464,True,promedio_riqueza_lexica,dass_ansiedad,0.4611438580007094,IC significativo pero p≥0.05,0.45886761705920404,False,0.0008928571428571429
18,0.45570777911946936,0.057358452132400504,-0.08480515130326441,0.7846768799590182,False,promedio_score_positivo,dass_estres,0.45570777911946936,No significativa,0.45886761705920404,False,0.0008928571428571429
18,0.4245009484795457,0.07911304245589544,-0.06094764526668511,0.7936685959561567,False,promedio_alegria,ucla_total,0.4245009484795457,No significativa,0.4666510596309592,False,0.0008928571428571429
18,0.41969272469727487,0.08293868491584777,-0.09743804954351472,0.7743128906728554,False,promedio_score_positivo,dass_ansiedad,0.41969272469727487,No significativa,0.4666510596309592,False,0.0008928571428571429
18,-0.41920944440738367,0.08333054636267129,-0.7573875801041099,0.08630605532575251,False,promedio_negativas,dass_estres,0.41920944440738367,No significativa,0.4666510596309592,False,0.0008928571428571429
18,0.3955443358103635,0.10421802381339318,-0.08509935647807235,0.7484412182503831,False,promedio_pronombres_1era_sing,dass_ansiedad,0.3955443358103635,No significativa,0.5305644848681834,False,0.0008928571428571429
18,0.36755037233230364,0.13347511034334306,-0.20222197560905983,0.7957844368329542,False,promedio_absolutistas,dass_ansiedad,0.36755037233230364,No significativa,0.5771032343563077,False,0.0008928571428571429
18,0.3671155732041887,0.13397039368985716,-0.22001897965195952,0.7616873473755119,False,promedio_riqueza_lexica,dass_depresion,0.3671155732041887,No significativa,0.5771032343563077,False,0.0008928571428571429
18,-0.33505759357227366,0.17409844639538355,-0.7640565784692124,0.21449637749516745,False,promedio_negativas,dass_depresion,0.33505759357227366,No significativa,0.5917496888404689,False,0.0008928571428571429
18,0.3232709645927585,0.19069394031953624,-0.18133957732158357,0.7440182412092112,False,promedio_enojo,dass_estres,0.3232709645927585,No significativa,0.5917496888404689,False,0.0008928571428571429
18,0.322953470458456,0.1911549900810938,-0.23141192910652386,0.8158668563553292,False,promedio_absolutistas,ucla_total,0.322953470458456,No significativa,0.5917496888404689,False,0.0008928571428571429
18,0.3220969954029595,0.19240241104190745,-0.20649113464150323,0.7170425725897968,False,total_emojis,dass_ansiedad,0.3220969954029595,No significativa,0.5917496888404689,False,0.0008928571428571429
18,-0.32021000476903194,0.19516975260207822,-0.6837207670852409,0.15723639245810486,False,promedio_palabras,dass_ansiedad,0.32021000476903194,No significativa,0.5917496888404689,False,0.0008928571428571429
18,0.3164432828182584,0.20077221585658767,-0.2308800745994516,0.755355836934164,False,promedio_score_positivo,dass_depresion,0.3164432828182584,No significativa,0.5917496888404689,False,0.0008928571428571429
18,0.29476349478775304,0.23506767754882862,-0.26338008917965544,0.7279673617252223,False,promedio_score_positivo,ucla_total,0.29476349478775304,No significativa,0.6172361100767318,False,0.0008928571428571429
18,0.2902228016738157,0.24269643395147314,-0.22130164793786397,0.7247203785509547,False,promedio_absolutistas,dass_depresion,0.2902228016738157,No significativa,0.6172361100767318,False,0.0008928571428571429
18,0.28571443880472036,0.25042446488708686,-0.2594703908053884,0.7036329849959571,False,total_emojis,dass_depresion,0.28571443880472036,No significativa,0.6172361100767318,False,0.0008928571428571429
18,0.28394026312852666,0.2535076880672291,-0.22401967936632605,0.6960653323672051,False,promedio_alegria,dass_ansiedad,0.28394026312852666,No significativa,0.6172361100767318,False,0.0008928571428571429
18,0.2638989881511018,0.28998544264700477,-0.2933645304104713,0.6482759988331914,False,total_emojis,ucla_total,0.2638989881511018,No significativa,0.6377405577964705,False,0.0008928571428571429
18,0.2559607481487084,0.30527079061959217,-0.2894593177389165,0.6830627718176981,False,num_publicaciones,dass_ansiedad,0.2559607481487084,No significativa,0.6377405577964705,False,0.0008928571428571429
18,0.2543955803048744,0.30834040511178573,-0.2905594857092555,0.6858392651214879,False,promedio_alegria,dass_depresion,0.2543955803048744,No significativa,0.6377405577964705,False,0.0008928571428571429
18,0.2529749554696896,0.3111424279177672,-0.29961051777859365,0.6688007766481701,False,promedio_pronombres_1era_sing,dass_depresion,0.2529749554696896,No significativa,0.6377405577964705,False,0.0008928571428571429
18,-0.24909591108824194,0.31887027889823527,-0.656521513192227,0.246226518305935,False,promedio_negativas,ucla_total,0.24909591108824194,No significativa,0.6377405577964705,False,0.0008928571428571429
18,0.21276942405454,0.39662346499173673,-0.32447683729466964,0.6587718335454955,False,num_publicaciones,ucla_total,0.21276942405454,No significativa,0.7232524021133073,False,0.0008928571428571429
18,0.20872555486221755,0.405868331084704,-0.34071133113159446,0.6914829670158016,False,promedio_pronombres_1era_sing,ucla_total,0.20872555486221755,No significativa,0.7232524021133073,False,0.0008928571428571429
